iter	Passed	Remaining
410	4325	6198
411	4338	6191
412	4351	6184
413	4362	6175
414	4375	6167
415	4389	6161
416	4402	6154
417	4415	6148
418	4425	6137
419	4437	6127
420	4449	6118
421	4458	6107
422	4469	6096
423	4481	6088
424	4492	6077
425	4503	6068
426	4515	6059
427	4525	6048
428	4538	6040
429	4551	6033
430	4563	6024
431	4573	6013
432	4585	6004
433	4595	5993
434	4606	5983
435	4615	5971
436	4626	5960
437	4637	5950
438	4649	5941
439	4658	5929
440	4670	5919
441	4680	5909
442	4692	5899
443	4704	5891
444	4715	5880
445	4728	5873
446	4739	5863
447	4766	5873
448	4781	5867
449	4793	5858
450	4803	5847
451	4815	5838
452	4824	5825
453	4835	5815
454	4849	5808
455	4859	5796
456	4869	5785
457	4882	5778
458	4893	5767
459	4903	5756
460	4914	5745
461	4926	5737
462	4936	5725
463	4947	5715
464	4958	5704
465	4969	5694
466	4980	5684
467	4991	5674
468	5000	5661
469	5011	5651
470	5021	5639
471	5031	5628
472	5041	5617
473	5053	5608
474	5064	5597
475	5075	5587
476	5085	5576
477	5097	5566
478	5108	5555
479	5119	5546
480	5131	5536
481	5142	5526
482	5152	5514
483	5162	5503
484	5174	5494
485	5184	5483
486	5194	5471
487	5208	5464
488	5219	5454
489	5230	5443
490	5240	5432
491	5251	5422
492	5262	5411
493	5273	5401
494	5283	5390
495	5292	5378
496	5303	5368
497	5316	5358
498	5328	5349
499	5339	5339
500	5352	5331
501	5362	5320
502	5373	5309
503	5382	5297
504	5394	5287
505	5405	5277
506	5415	5266
507	5426	5255
508	5437	5245
509	5449	5235
510	5462	5226
511	5473	5216
512	5486	5208
513	5498	5199
514	5508	5187
515	5519	5177
516	5530	5166
517	5541	5156
518	5551	5145
519	5562	5134
520	5572	5123
521	5582	5112
522	5592	5100
523	5603	5089
524	5614	5079
525	5625	5069
526	5637	5059
527	5650	5051
528	5662	5042
529	5674	5031
530	5686	5022
531	5695	5010
532	5707	5000
533	5716	4988
534	5727	4978
535	5740	4969
536	5751	4959
537	5763	4948
538	5773	4937
539	5783	4926
540	5793	4915
541	5804	4904
542	5813	4893
543	5823	4881
544	5833	4870
545	5844	4859
546	5855	4848
547	5865	4837
548	5875	4826
549	5886	4816
550	5898	4806
551	5909	4796
552	5920	4786
553	5930	4774
